week,all,owner
0,133,21
1,1479,65
2,1598,40
3,1584,30
4,1683,39
5,1720,35
6,1831,33
7,1416,32
8,1512,26
9,1314,16
10,1293,100
11,1409,74
12,1684,34
13,1473,31
14,1442,36
15,1905,39
16,1590,33
17,1664,35
18,1499,22
19,1488,136
20,1481,71
21,1726,42
22,1437,30
23,1665,30
24,1725,33
25,1893,28
26,1812,37
27,1742,36
28,1355,106
29,1037,67
30,1506,40
31,1406,39
32,1352,36
33,1915,40
34,1828,29
35,1374,37
36,1792,36
37,1609,21
38,1530,140
39,973,36
40,1485,34
41,1489,42
42,1321,42
43,1374,25
44,581,30
45,1079,27
46,1366,32
47,1135,34
48,781,18
49,693,126
50,536,63
51,242,29
52,133,21